Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,Magnitude,Magnitude Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths
Natural,Hydrological,Flood,Flood (General),IND,India,Southern Asia,Asia,North 24 Parganas district (West Bengal province),309.0,Km2,20.593684,78.96288,2000,10.0,19.0,2000,10.0,19.0,6.0
Natural,Hydrological,Flood,Riverine flood,LKA,Sri Lanka,Southern Asia,Asia,"Ampara, Batticaloa districts (Eastern province), Polonnaruwa district (North Central province)",7600.0,Km2,7.873054,80.771797,2000,11.0,18.0,2000,11.0,22.0,3.0
Natural,Geophysical,Earthquake,Ground movement,TJK,Tajikistan,Central Asia,Asia,"Khasanov village (Parharskiy district, Khatlon province)",4.8,Moment Magnitude,37.451,69.498,2000,10.0,30.0,2000,10.0,30.0,
Natural,Hydrological,Flood,Riverine flood,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Nam, Khanh Hoa, Phu Yen, Ninh Thuan, Binh Thuan, Quang Ngai, Binh Dinh, Quang Tri, Thua Thien-Hue provinces",49140.0,Km2,14.058324,108.277199,2000,11.0,18.0,2000,11.0,26.0,36.0
Natural,Geophysical,Earthquake,Ground movement,PNG,Papua New Guinea,Melanesia,Oceania,"Duke of York island (Kokopo district, East New Britain province), New Ireland, Northern Solomons provinces",8.0,Moment Magnitude,-6.314993,152.169,2000,11.0,16.0,2000,11.0,16.0,2.0
Natural,Hydrological,Flood,Riverine flood,AUS,Australia,Australia and New Zealand,Oceania,"Bingara, Yallaroi villages (Gwydir district, New South Wales province), Coonebarabran village (Warrumbungle Shire district, New South Wales province), Berrigan, Corowa Shire, Deniliquin, Murray districts (New South Wales province)",112000.0,Km2,-25.274398,133.775136,2000,11.0,17.0,2000,12.0,2.0,
Natural,Hydrological,Flood,Flash flood,ZAF,South Africa,Sub-Saharan Africa,Africa,Kwazulu-Natal province,25650.0,Km2,-30.559482,22.937506,2000,11.0,19.0,2000,11.0,23.0,3.0
Natural,Hydrological,Flood,Riverine flood,THA,Thailand,South-eastern Asia,Asia,"Songkhla, Nakhon Si Thammarat, Surat Thani, Satun, Phatthalung, Chumphon, Narathiwat, Yala, Pattani, Trang provinces",630.0,Km2,15.870032,100.992541,2000,11.0,21.0,2000,11.0,21.0,51.0
Natural,Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,"Pandeglang, Lebak, Serang districts (Banten province)",6.8,Moment Magnitude,-0.789275,105.63,2000,10.0,25.0,2000,10.0,25.0,
Natural,Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,Lahat district (Sumatera Selatan province),6.7,Moment Magnitude,-0.789275,101.905,2000,6.0,7.0,2000,6.0,7.0,1.0
